IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,41297,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,firebaseinstallations.googleapis.com,82,226,1,1,2026-02-02T20:45:43.893+08:00,2026-02-02T20:45:43.911+08:00
17,10.215.173.1,8261,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,graph.facebook.com,64,104,1,1,2026-02-02T20:45:43.901+08:00,2026-02-02T20:45:43.922+08:00
6,10.215.173.1,59954,142.251.220.170,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,firebaseinstallations.googleapis.com,1787,6410,9,9,2026-02-02T20:45:43.927+08:00,2026-02-02T20:45:45.700+08:00
6,10.215.173.1,51170,57.144.228.141,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,graph.facebook.com,2263,9241,13,13,2026-02-02T20:45:43.930+08:00,2026-02-02T20:45:44.852+08:00
6,10.215.173.1,51180,57.144.228.141,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,graph.facebook.com,1963,9243,13,13,2026-02-02T20:45:43.933+08:00,2026-02-02T20:45:44.876+08:00
6,10.215.173.1,51192,57.144.228.141,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,graph.facebook.com,1734,6456,10,9,2026-02-02T20:45:43.936+08:00,2026-02-02T20:45:44.780+08:00
17,10.215.173.1,47704,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,kiwarb-cdn-settings.appsflyersdk.com,82,146,1,1,2026-02-02T20:45:43.972+08:00,2026-02-02T20:45:44.009+08:00
6,10.215.173.1,52040,143.204.249.108,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,kiwarb-cdn-settings.appsflyersdk.com,1401,5976,11,11,2026-02-02T20:45:44.019+08:00,2026-02-02T20:45:44.640+08:00
6,10.215.173.1,51202,57.144.228.141,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,graph.facebook.com,1774,3478,11,11,2026-02-02T20:45:44.112+08:00,2026-02-02T20:45:44.812+08:00
17,10.215.173.1,22255,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,unisdk.proxima.nie.easebar.com,76,217,1,1,2026-02-02T20:45:44.369+08:00,2026-02-02T20:45:44.385+08:00
17,10.215.173.1,39836,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,g0.gsf.easebar.com,64,173,1,1,2026-02-02T20:45:44.392+08:00,2026-02-02T20:45:44.428+08:00
6,10.215.173.1,53940,8.221.190.98,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,unisdk.proxima.nie.easebar.com,2175,5043,13,15,2026-02-02T20:45:44.414+08:00,2026-02-02T20:45:45.647+08:00
17,10.215.173.1,60206,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,protocol.unisdk.easebar.com,73,191,1,1,2026-02-02T20:45:44.426+08:00,2026-02-02T20:45:44.463+08:00
17,10.215.173.1,27361,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,who.nie.easebar.com,65,173,1,1,2026-02-02T20:45:44.431+08:00,2026-02-02T20:45:44.465+08:00
17,10.215.173.1,27834,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,data-detect.nie.easebar.com,73,177,1,1,2026-02-02T20:45:44.439+08:00,2026-02-02T20:45:44.470+08:00
6,10.215.173.1,42122,202.69.184.115,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,g0.gsf.easebar.com,1275,5054,10,10,2026-02-02T20:45:44.451+08:00,2026-02-02T20:45:44.828+08:00
6,10.215.173.1,42124,202.69.184.115,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,g0.gsf.easebar.com,1307,5024,11,10,2026-02-02T20:45:44.457+08:00,2026-02-02T20:45:44.743+08:00
6,10.215.173.1,45174,202.69.184.112,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,protocol.unisdk.easebar.com,3578,48374,22,26,2026-02-02T20:45:44.477+08:00,2026-02-02T20:45:45.125+08:00
6,10.215.173.1,51872,54.65.224.103,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,who.nie.easebar.com,1304,5236,10,10,2026-02-02T20:45:44.493+08:00,2026-02-02T20:45:44.884+08:00
6,10.215.173.1,57990,8.221.193.58,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,data-detect.nie.easebar.com,1734,4663,12,13,2026-02-02T20:45:44.504+08:00,2026-02-02T20:45:45.230+08:00
17,10.215.173.1,32454,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,translate.mpsdk.easebar.com,73,192,1,1,2026-02-02T20:45:44.588+08:00,2026-02-02T20:45:44.608+08:00
6,10.215.173.1,49080,202.69.184.106,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,translate.mpsdk.easebar.com,1933,98281,17,25,2026-02-02T20:45:44.617+08:00,2026-02-02T20:45:44.924+08:00
17,10.215.173.1,31184,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,mcount.easebar.com,64,80,1,1,2026-02-02T20:45:44.651+08:00,2026-02-02T20:45:44.669+08:00
